address,adm_district,city_district,lattitude,longitude
"город Москва, Таганская площадь, дом 12, строение 5",Центральный,Таганский,55.7401357,37.6542634
"город Москва, улица Малые Каменщики, дом 18",Центральный,Таганский,55.7356235,37.654234
"город Москва, 5-й Котельнический переулок, дом 8",Центральный,Таганский,55.7421425,37.6488684
"город Москва, Народная улица, дом 11/2",Центральный,Таганский,55.7377101,37.6518916
"город Москва, улица Большие Каменщики, дом 1",Центральный,Таганский,55.739601,37.6541445
"город Москва, улица Большие Каменщики, дом 1",Центральный,Таганский,55.739601,37.6541445
"город Москва, 5-я Кожуховская улица, дом 26, строение 1",Юго-восточный,Южнопортовый,55.7045389,37.6794839
"город Москва, 2-й Южнопортовый проезд, дом 11, строение 1",Юго-восточный,Южнопортовый,55.7002791,37.6829368
"город Москва, улица Петра Романова, дом 16",Юго-восточный,Южнопортовый,55.7038643,37.6811187
"город Москва, 3-й Кожуховский проезд, дом 3А",Юго-восточный,Южнопортовый,55.7076709,37.6753612
"город Москва, улица Трофимова, дом 13А",Юго-восточный,Южнопортовый,55.704179,37.6703485
"город Москва, 1-я улица Машиностроения, дом 3/5А",Юго-восточный,Южнопортовый,55.7156896,37.6731822
"город Москва, 1-я улица Машиностроения, дом 12, корпус 2",Юго-восточный,Южнопортовый,55.7133447,37.6727237
"город Москва, 1-я Дубровская улица, дом 16",Юго-восточный,Южнопортовый,55.7233024,37.6716343
"город Москва, Шарикоподшипниковская улица, дом 38, строение 1",Юго-восточный,Южнопортовый,55.7147,37.6769153
"город Москва, улица Толбухина, дом 10, корпус 3",Западный,Можайский,55.7210736,37.4029998
"город Москва, Кастанаевская улица, дом 34",Западный,Фили-Давыдково,55.7364355,37.4829796
"город Москва, Бобруйская улица, дом 7",Западный,Кунцево,55.7362267,37.3995264
"город Москва, Бобруйская улица, дом 23",Западный,Кунцево,55.7389426,37.3939494
"город Москва, Молодогвардейская улица, дом 52",Западный,Кунцево,55.734475,37.4022453
"город Москва, улица Горбунова, дом 10, строение 1",Западный,Можайский,55.723344,37.386274
"город Москва, улица Герасима Курина, дом 10",Западный,Фили-Давыдково,55.7326487,37.4813625
"город Москва, Молдавская улица, дом 5, строение 5",Западный,Кунцево,55.7319027,37.4345962
"город Москва, Молодогвардейская улица, дом 13",Западный,Кунцево,55.7330119,37.429458
"город Москва, Молодогвардейская улица, дом 13",Западный,Кунцево,55.7330119,37.429458
"город Москва, Беловежская улица, дом 10",Западный,Можайский,55.7070514,37.3952083
"город Москва, Рябиновая улица, дом 14",Западный,Можайский,55.713324,37.421758
"город Москва, Инициативная улица, дом 3",Западный,Фили-Давыдково,55.7164406,37.4592843
"город Москва, улица Герасима Курина, дом 6",Западный,Фили-Давыдково,55.7330631,37.4847292
"город Москва, Верейская улица, дом 5, строение 6",Западный,Можайский,55.7079001,37.444507
"город Москва, Беловежская улица, дом 1, корпус 2",Западный,Можайский,55.7149293,37.4009004
"город Москва, Кастанаевская улица, дом 43",Западный,Фили-Давыдково,55.7326516,37.4672238
"город Москва, Беловежская улица, дом 7",Западный,Можайский,55.711768,37.3996639
"город Москва, Рябиновая улица, дом 8, корпус 2",Западный,Можайский,55.717001,37.419826
"город Москва, Ельнинская улица, дом 10",Западный,Кунцево,55.7366758,37.4273618
"город Москва, Ельнинская улица, дом 24",Западный,Кунцево,55.7400681,37.4203243
"город Москва, Молдавская улица, дом 6, корпус 2",Западный,Кунцево,55.7320261,37.4396649
"город Москва, Кременчугская улица, дом 46",Западный,Фили-Давыдково,55.7121421,37.4562124
"город Москва, Можайское шоссе, дом 18, корпус 2",Западный,Можайский,55.7215588,37.4288985
"город Москва, Давыдковская улица, дом 14, корпус 1",Западный,Фили-Давыдково,55.721505,37.467561
"город Москва, улица Говорова, дом 7",Западный,Можайский,55.718356,37.3941606
"город Москва, улица Красных Зорь, дом 61",Западный,Можайский,55.7247622,37.4269169
"город Москва, Кастанаевская улица, дом 45",Западный,Фили-Давыдково,55.7322715,37.4647787
"город Москва, улица Ращупкина, дом 3",Западный,Можайский,55.7246433,37.4440503
"город Москва, улица Кубинка, дом 20, корпус 1",Западный,Можайский,55.7230358,37.4084119
"город Москва, улица Кутузова, дом 20",Западный,Можайский,55.7227466,37.4145456
"город Москва, Гродненская улица, дом 5",Западный,Можайский,55.7175661,37.435602
